Name,Overs,Maiden,Runs,Wicket,No Balls,Wides,Economy,Team,Date
D Chahar,3,0,14,1,0,0,4.70,Chennai Super Kings,2018-04-07
Watson,4,0,29,2,0,1,7.20,Chennai Super Kings,2018-04-07
Harbhajan,2,0,14,0,0,0,7.00,Chennai Super Kings,2018-04-07
Ravindra Jadeja,1,0,9,0,0,0,9.00,Chennai Super Kings,2018-04-07
Mark Wood,4,0,49,0,0,1,12.20,Chennai Super Kings,2018-04-07
Tahir,2,0,23,1,0,0,11.50,Chennai Super Kings,2018-04-07
DJ Bravo,4,0,25,0,0,0,6.20,Chennai Super Kings,2018-04-07
Mitchell McClenaghan,4,0,44,1,0,1,11.00,Mumbai Indians,2018-04-07
Mustafizur Rahman,3.5,0,39,1,0,0,10.20,Mumbai Indians,2018-04-07
Jasprit Bumrah,4,0,37,1,1,0,9.20,Mumbai Indians,2018-04-07
Hardik Pandya,4,0,24,3,0,3,6.00,Mumbai Indians,2018-04-07
Mayank Markande,4,0,23,3,0,0,5.80,Mumbai Indians,2018-04-07
Ashwin (c),4,0,23,1,0,1,5.80,Kings XI Punjab,2018-04-08
Mohit Sharma,4,0,33,2,0,0,8.20,Kings XI Punjab,2018-04-08
Mujeeb,4,0,28,2,0,1,7.00,Kings XI Punjab,2018-04-08
Axar,3,0,35,1,0,0,11.70,Kings XI Punjab,2018-04-08
Andrew Tye,4,0,38,0,1,1,9.50,Kings XI Punjab,2018-04-08
Stoinis,1,0,7,0,0,0,7.00,Kings XI Punjab,2018-04-08
Trent Boult,3.5,0,34,1,1,0,8.90,Delhi Daredevils,2018-04-08
Mohammed Shami,2,0,26,0,0,0,13.00,Delhi Daredevils,2018-04-08
Amit Mishra,4,0,46,0,0,0,11.50,Delhi Daredevils,2018-04-08
Chris Morris,3,0,25,1,0,0,8.30,Delhi Daredevils,2018-04-08
Daniel Christian,2,0,12,1,0,0,6.00,Delhi Daredevils,2018-04-08
Rahul Tewatia,4,0,24,1,0,0,6.00,Delhi Daredevils,2018-04-08
Vinay Kumar,2,0,30,2,0,0,15.00,Kolkata Knight Riders,2018-04-08
Chawla,4,0,31,1,0,0,7.80,Kolkata Knight Riders,2018-04-08
Kuldeep Yadav,3,0,33,0,0,5,11.00,Kolkata Knight Riders,2018-04-08
Narine,4,0,30,1,0,0,7.50,Kolkata Knight Riders,2018-04-08
Johnson,4,0,30,1,0,0,7.50,Kolkata Knight Riders,2018-04-08
A Russell,2,0,10,0,0,0,5.00,Kolkata Knight Riders,2018-04-08
Nitish Rana,1,0,11,2,0,0,11.00,Kolkata Knight Riders,2018-04-08
Yuzvendra Chahal,3,0,29,0,0,1,9.70,Royal Challengers Bangalore,2018-04-08
Chris Woakes,4,0,36,3,0,2,9.00,Royal Challengers Bangalore,2018-04-08
Washington Sundar,4,0,48,1,0,1,12.00,Royal Challengers Bangalore,2018-04-08
Umesh Yadav,4,0,27,2,0,2,6.80,Royal Challengers Bangalore,2018-04-08
Kulwant Khejroliya,3.5,0,34,0,0,4,8.90,Royal Challengers Bangalore,2018-04-08
Bhuvneshwar,4,0,30,1,0,3,7.50,Sunrisers Hyderabad,2018-04-09
Stanlake,4,0,29,1,0,1,7.20,Sunrisers Hyderabad,2018-04-09
Shakib,4,0,23,2,0,0,5.80,Sunrisers Hyderabad,2018-04-09
S Kaul,4,0,17,2,0,1,4.20,Sunrisers Hyderabad,2018-04-09
Rashid Khan,4,0,23,1,0,0,5.80,Sunrisers Hyderabad,2018-04-09
Dhawal Kulkarni,2.5,0,18,0,0,1,6.40,Rajasthan Royals,2018-04-09
Jaydev Unadkat,3,0,28,1,0,1,9.30,Rajasthan Royals,2018-04-09
Krishnappa Gowtham,1,0,9,0,0,0,9.00,Rajasthan Royals,2018-04-09
Ben Laughlin,2,0,20,0,1,0,10.00,Rajasthan Royals,2018-04-09
Shreyas Gopal,3,0,17,0,0,0,5.70,Rajasthan Royals,2018-04-09
Ben Stokes,2,0,21,0,0,1,10.50,Rajasthan Royals,2018-04-09
D Arcy Short,2,0,9,0,0,0,4.50,Rajasthan Royals,2018-04-09
D Chahar,1,0,18,0,0,1,18.00,Chennai Super Kings,2018-04-10
Harbhajan,2,0,11,1,0,0,5.50,Chennai Super Kings,2018-04-10
Watson,4,0,39,2,0,2,9.80,Chennai Super Kings,2018-04-10
Ravindra Jadeja,2,0,19,1,0,0,9.50,Chennai Super Kings,2018-04-10
Tahir,4,0,26,0,0,0,6.50,Chennai Super Kings,2018-04-10
SN Thakur,4,0,37,1,0,0,9.20,Chennai Super Kings,2018-04-10
DJ Bravo,3,0,50,0,0,0,16.70,Chennai Super Kings,2018-04-10
Vinay Kumar,1.5,0,35,0,1,1,19.10,Kolkata Knight Riders,2018-04-10
Piyush Chawla,4,0,49,1,0,1,12.20,Kolkata Knight Riders,2018-04-10
Andre Russell,4,0,35,0,0,0,8.80,Kolkata Knight Riders,2018-04-10
Tom Curran,3,0,39,2,0,0,13.00,Kolkata Knight Riders,2018-04-10
Sunil Narine,4,0,17,1,0,0,4.20,Kolkata Knight Riders,2018-04-10
Kuldeep Yadav,3,0,27,1,0,1,9.00,Kolkata Knight Riders,2018-04-10
Boult,3,0,26,1,0,0,8.70,Delhi Daredevils,2018-04-11
Nadeem,4,0,34,2,0,0,8.50,Delhi Daredevils,2018-04-11
Chris Morris,3,0,34,0,0,0,11.30,Delhi Daredevils,2018-04-11
Shami,3.5,0,29,1,0,1,7.60,Delhi Daredevils,2018-04-11
Rahul Tewatia,4,0,29,0,0,1,7.20,Delhi Daredevils,2018-04-11
Krishnappa Gowtham,1,0,10,0,0,0,10.00,Rajasthan Royals,2018-04-11
Dhawal Kulkarni,1,0,4,0,0,1,4.00,Rajasthan Royals,2018-04-11
