Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2019-03-23,Virat Kohli,6,12,0,0,50.00,India,1988-11-05,RCB,Chennai,2019
2019-03-23,Parthiv Patel,29,35,2,0,82.86,India,1985-03-09,RCB,Chennai,2019
2019-03-23,Moeen Ali,9,8,0,1,112.50,England,1987-06-18,RCB,Chennai,2019
2019-03-23,AB de Villiers,9,10,0,0,90.00,South Africa,1984-02-17,RCB,Chennai,2019
2019-03-23,Shimron Hetmyer,0,2,0,0,0.00,West Indies,1996-12-26,RCB,Chennai,2019
2019-03-23,Shivam Dube,2,5,0,0,40.00,India,1993-06-26,RCB,Chennai,2019
2019-03-23,Colin de Grandhomme,4,6,1,0,66.67,New Zealand,1986-07-22,RCB,Chennai,2019
2019-03-23,Navdeep Saini,2,3,0,0,66.67,India,1992-11-23,RCB,Chennai,2019
2019-03-23,Yuzvendra Chahal,4,12,0,0,33.33,India,1990-07-23,RCB,Chennai,2019
2019-03-23,Umesh Yadav,1,10,0,0,10.00,India,1987-10-25,RCB,Chennai,2019
2019-03-23,Shane Watson,0,10,0,0,0.00,Australia,1981-06-17,CSK,Chennai,2019
2019-03-23,Ambati Rayudu,28,42,2,1,66.67,India,1985-09-23,CSK,Chennai,2019
2019-03-23,Suresh Raina,19,21,3,0,90.48,India,1986-11-27,CSK,Chennai,2019
2019-03-23,Kedar Jadhav,13,19,1,0,68.42,India,1985-03-26,CSK,Chennai,2019
2019-03-23,Ravindra Jadeja,6,15,0,0,40.00,India,1988-12-06,CSK,Chennai,2019
2019-03-24,David Warner,85,53,9,3,160.38,Australia,1986-10-27,SH,Kolkata,2019
2019-03-24,Jonny Bairstow,39,35,3,1,111.43,England,1989-09-26,SH,Kolkata,2019
2019-03-24,Vijay Shankar,40,24,2,2,166.67,India,1991-01-26,SH,Kolkata,2019
2019-03-24,Yusuf Pathan,1,4,0,0,25.00,India,1982-11-17,SH,Kolkata,2019
2019-03-24,Manish Pandey,8,5,1,0,160.00,India,1989-09-10,SH,Kolkata,2019
2019-03-24,Chris Lynn,7,11,0,1,63.64,Australia,1990-04-10,KKR,Kolkata,2019
2019-03-24,Nitish Rana,68,47,8,3,144.68,India,1993-12-27,KKR,Kolkata,2019
2019-03-24,Robin Uthappa,35,27,3,1,129.63,India,1985-11-11,KKR,Kolkata,2019
2019-03-24,Dinesh Karthik,2,4,0,0,50.00,India,1985-06-01,KKR,Kolkata,2019
2019-03-24,Andre Russell,49,19,4,4,257.89,West Indies,1988-04-29,KKR,Kolkata,2019
2019-03-24,Shubman Gill,18,10,0,2,180.00,India,1999-09-08,KKR,Kolkata,2019
2019-03-24,Prithvi Shaw,7,6,1,0,116.67,India,1999-11-09,DC,Mumbai,2019
2019-03-24,Shikhar Dhawan,43,36,4,1,119.44,India,1985-12-05,DC,Mumbai,2019
2019-03-24,Shreyas Iyer,16,10,2,1,160.00,India,1994-12-06,DC,Mumbai,2019
2019-03-24,Colin Ingram,47,32,7,1,146.88,South Africa,1985-07-03,DC,Mumbai,2019
2019-03-24,Rishabh Pant,78,27,7,7,288.89,India,1997-10-04,DC,Mumbai,2019
2019-03-24,Keemo Paul,3,5,0,0,60.00,West Indies,1998-02-21,DC,Mumbai,2019
2019-03-24,Axar Patel,4,2,1,0,200.00,India,1994-01-20,DC,Mumbai,2019
2019-03-24,Rahul Tewatia,9,4,0,1,225.00,India,1993-05-20,DC,Mumbai,2019
2019-03-24,Rohit Sharma,14,13,2,0,107.69,India,1987-04-30,MI,Mumbai,2019
2019-03-24,Quinton de Kock,27,16,4,1,168.75,South Africa,1992-12-17,MI,Mumbai,2019
2019-03-24,Suryakumar Yadav,2,6,0,0,33.33,India,1990-09-14,MI,Mumbai,2019
2019-03-24,Yuvraj Singh,53,35,5,3,151.43,India,1981-12-12,MI,Mumbai,2019
2019-03-24,Kieron Pollard,21,13,2,1,161.54,West Indies,1987-05-12,MI,Mumbai,2019
2019-03-24,Hardik Pandya,0,2,0,0,0.00,India,1993-10-11,MI,Mumbai,2019
2019-03-24,Krunal Pandya,32,15,5,1,213.33,India,1991-03-24,MI,Mumbai,2019
2019-03-24,Ben Cutting,3,4,0,0,75.00,Australia,1987-01-30,MI,Mumbai,2019
2019-03-24,Mitchell McClenaghan,10,8,2,0,125.00,New Zealand,1986-06-11,MI,Mumbai,2019
2019-03-24,Rasikh Dar Salam,5,4,0,0,125.00,India,2000-04-05,MI,Mumbai,2019
2019-03-25,KL Rahul,4,4,1,0,100.00,India,1992-04-18,KXP,Jaipur,2019
2019-03-25,Chris Gayle,79,47,8,4,168.09,West Indies,1979-09-21,KXP,Jaipur,2019
2019-03-25,Mayank Agarwal,22,24,1,2,91.67,India,1991-02-16,KXP,Jaipur,2019
2019-03-25,Sarfaraz Khan,46,29,6,1,158.62,India,1997-10-22,KXP,Jaipur,2019
2019-03-25,Nicholas Pooran,12,14,1,0,85.71,West Indies,1995-10-02,KXP,Jaipur,2019
2019-03-25,Mandeep Singh,5,2,0,0,250.00,India,1991-12-18,KXP,Jaipur,2019
2019-03-25,Ajinkya Rahane,27,20,4,0,135.00,India,1988-06-06,RR,Jaipur,2019
