Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2021-04-09,Mohammed Siraj,4,0,22,0,0,1,5.50,India,1994-03-13,RCB,Chennai,2021
2021-04-09,Kyle Jamieson,4,0,27,1,1,0,6.80,New Zealand,1994-12-30,RCB,Chennai,2021
2021-04-09,Yuzvendra Chahal,4,0,41,0,0,0,10.20,India,1990-07-23,RCB,Chennai,2021
2021-04-09,Shahbaz Ahmed,1,0,14,0,0,0,14.00,India,1994-12-11,RCB,Chennai,2021
2021-04-09,Harshal Patel,4,0,27,5,1,0,6.80,India,1990-11-23,RCB,Chennai,2021
2021-04-09,Daniel Christian,2,0,21,0,0,1,10.50,Australia,1983-05-04,RCB,Chennai,2021
2021-04-09,Washington Sundar,1,0,7,1,0,0,7.00,India,1999-10-05,RCB,Chennai,2021
2021-04-09,Trent Boult,4,0,36,1,0,6,9.00,New Zealand,1989-07-22,MI,Chennai,2021
2021-04-09,Jasprit Bumrah,4,0,26,2,0,0,6.50,India,1993-12-06,MI,Chennai,2021
2021-04-09,Marco Jansen,4,0,28,2,1,3,7.00,South Africa,2000-05-01,MI,Chennai,2021
2021-04-09,Krunal Pandya,4,0,25,1,0,0,6.20,India,1991-03-24,MI,Chennai,2021
2021-04-09,Rahul Chahar,4,0,43,0,0,0,10.80,India,1999-08-04,MI,Chennai,2021
2021-04-10,Chris Woakes,3,0,18,2,0,0,6.00,England,1989-03-02,DC,Mumbai,2021
2021-04-10,Avesh Khan,4,0,23,2,0,1,5.80,India,1996-12-13,DC,Mumbai,2021
2021-04-10,Ravichandran Ashwin,4,0,47,1,0,0,11.80,India,1986-09-17,DC,Mumbai,2021
2021-04-10,Tom Curran,4,0,40,1,0,1,10.00,England,1995-03-12,DC,Mumbai,2021
2021-04-10,Amit Mishra,3,0,27,0,0,0,9.00,India,1982-11-24,DC,Mumbai,2021
2021-04-10,Marcus Stoinis,2,0,26,0,1,0,13.00,Australia,1989-08-16,DC,Mumbai,2021
2021-04-10,Deepak Chahar,4,0,36,0,0,0,9.00,India,1992-08-07,CSK,Mumbai,2021
2021-04-10,Sam Curran,2,0,24,0,0,0,12.00,England,1998-06-03,CSK,Mumbai,2021
2021-04-10,Shardul Thakur,3.4,0,53,2,0,2,14.50,India,1991-10-16,CSK,Mumbai,2021
2021-04-10,Ravindra Jadeja,2,0,16,0,0,0,8.00,India,1988-12-06,CSK,Mumbai,2021
2021-04-10,Moeen Ali,3,0,33,0,1,0,11.00,England,1987-06-18,CSK,Mumbai,2021
2021-04-10,Dwayne Bravo,4,0,28,1,0,1,7.00,West Indies,1983-10-07,CSK,Mumbai,2021
2021-04-11,Bhuvneshwar Kumar,4,0,45,1,0,1,11.20,India,1990-02-05,SH,Chennai,2021
2021-04-11,Sandeep Sharma,3,0,35,0,0,0,11.70,India,1993-05-18,SH,Chennai,2021
2021-04-11,T Natarajan,4,0,37,1,0,1,9.20,India,1991-04-04,SH,Chennai,2021
2021-04-11,Mohammad Nabi,4,0,32,2,0,0,8.00,Afghanistan,1985-01-01,SH,Chennai,2021
2021-04-11,Rashid Khan,4,0,24,2,0,5,6.00,Afghanistan,1998-09-20,SH,Chennai,2021
2021-04-11,Vijay Shankar,1,0,14,0,0,0,14.00,India,1991-01-26,SH,Chennai,2021
2021-04-11,Harbhajan Singh,1,0,8,0,0,0,8.00,India,1980-07-03,KKR,Chennai,2021
2021-04-11,Prasidh Krishna,4,0,35,2,0,4,8.80,India,1996-02-19,KKR,Chennai,2021
2021-04-11,Shakib Al Hasan,4,0,34,1,0,0,8.50,Bangladesh,1987-03-24,KKR,Chennai,2021
2021-04-11,Pat Cummins,4,0,30,1,0,0,7.50,Australia,1993-05-08,KKR,Chennai,2021
2021-04-11,Andre Russell,3,0,32,1,0,1,10.70,West Indies,1988-04-29,KKR,Chennai,2021
2021-04-11,Varun Chakaravarthy,4,0,36,0,0,0,9.00,India,1991-08-29,KKR,Chennai,2021
2021-04-12,Chetan Sakariya,4,0,31,3,1,0,7.80,India,1998-02-28,RR,Mumbai,2021
2021-04-12,Mustafizur Rahman,4,0,45,0,1,3,11.20,Bangladesh,1995-09-06,RR,Mumbai,2021
2021-04-12,Chris Morris,4,0,41,2,0,1,10.20,South Africa,1987-04-30,RR,Mumbai,2021
2021-04-12,Shreyas Gopal,3,0,40,0,0,0,13.30,India,1993-09-04,RR,Mumbai,2021
2021-04-12,Ben Stokes,1,0,12,0,0,0,12.00,England,1991-06-04,RR,Mumbai,2021
2021-04-12,Rahul Tewatia,2,0,25,0,0,0,12.50,India,1993-05-20,RR,Mumbai,2021
2021-04-12,Riyan Parag,1,0,7,1,0,0,7.00,India,2001-11-10,RR,Mumbai,2021
2021-04-12,Shivam Dube,1,0,20,0,0,0,20.00,India,1993-06-26,RR,Mumbai,2021
2021-04-12,Mohammed Shami,4,0,33,2,0,2,8.20,India,1990-09-03,PK,Mumbai,2021
2021-04-12,Jhye Richardson,4,0,55,1,0,2,13.80,Australia,1996-09-20,PK,Mumbai,2021
2021-04-12,Arshdeep Singh,4,0,35,3,0,0,8.80,India,1999-02-05,PK,Mumbai,2021
2021-04-12,Riley Meredith,4,0,49,1,0,0,12.20,Australia,1996-06-21,PK,Mumbai,2021
2021-04-12,Murugan Ashwin,4,0,43,0,1,2,10.80,India,1990-09-08,PK,Mumbai,2021
2021-04-13,Harbhajan Singh,2,0,17,0,0,1,8.50,India,1980-07-03,KKR,Chennai,2021
2021-04-13,Varun Chakaravarthy,4,0,27,1,0,1,6.80,India,1991-08-29,KKR,Chennai,2021
