Name,Runs,Balls,Fours,Sixes,Strike Rate,Team,Date
Ruturaj Gaikwad,0,4,0,0,0.00,Chennai Super Kings,2022-03-26
Conway,3,8,0,0,37.50,Chennai Super Kings,2022-03-26
Uthappa,28,21,2,2,133.33,Chennai Super Kings,2022-03-26
Rayudu,15,17,1,1,88.24,Chennai Super Kings,2022-03-26
Ravindra Jadeja (c),26,28,0,1,92.86,Chennai Super Kings,2022-03-26
Shivam Dube,3,6,0,0,50.00,Chennai Super Kings,2022-03-26
Dhoni (wk),50,38,7,1,131.58,Chennai Super Kings,2022-03-26
Ajinkya Rahane,44,34,6,1,129.41,Kolkata Knight Riders,2022-03-26
Venkatesh Iyer,16,16,2,0,100.00,Kolkata Knight Riders,2022-03-26
Nitish Rana,21,17,2,1,123.53,Kolkata Knight Riders,2022-03-26
Shreyas Iyer (c),20,19,1,0,105.26,Kolkata Knight Riders,2022-03-26
Sam Billings,25,22,1,1,113.64,Kolkata Knight Riders,2022-03-26
Sheldon Jackson (wk),3,3,0,0,100.00,Kolkata Knight Riders,2022-03-26
Rohit (c),41,32,4,2,128.12,Mumbai Indians,2022-03-27
Ishan Kishan (wk),81,48,11,2,168.75,Mumbai Indians,2022-03-27
Anmolpreet Singh,8,9,0,0,88.89,Mumbai Indians,2022-03-27
Tilak Varma,22,15,3,0,146.67,Mumbai Indians,2022-03-27
Pollard,3,6,0,0,50.00,Mumbai Indians,2022-03-27
Tim David,12,8,0,1,150.00,Mumbai Indians,2022-03-27
Daniel Sams,7,2,0,1,350.00,Mumbai Indians,2022-03-27
Prithvi Shaw,38,24,4,2,158.33,Delhi Capitals,2022-03-27
Tim Seifert,21,14,4,0,150.00,Delhi Capitals,2022-03-27
Mandeep Singh,0,2,0,0,0.00,Delhi Capitals,2022-03-27
Rishabh Pant (c & wk),1,2,0,0,50.00,Delhi Capitals,2022-03-27
Lalit Yadav,48,38,4,2,126.32,Delhi Capitals,2022-03-27
Rovman Powell,0,2,0,0,0.00,Delhi Capitals,2022-03-27
Shardul Thakur,22,11,4,0,200.00,Delhi Capitals,2022-03-27
Axar Patel,38,17,2,3,223.53,Delhi Capitals,2022-03-27
du Plessis (c),88,57,3,7,154.39,Royal Challengers Bangalore,2022-03-27
Anuj Rawat,21,20,2,1,105.00,Royal Challengers Bangalore,2022-03-27
Kohli,41,29,1,2,141.38,Royal Challengers Bangalore,2022-03-27
Karthik (wk),32,14,3,3,228.57,Royal Challengers Bangalore,2022-03-27
Mayank Agarwal (c),32,24,2,2,133.33,Punjab Kings,2022-03-27
Shikhar Dhawan,43,29,5,1,148.28,Punjab Kings,2022-03-27
Bhanuka Rajapaksa (wk),43,22,2,4,195.45,Punjab Kings,2022-03-27
Liam Livingstone,19,10,0,2,190.00,Punjab Kings,2022-03-27
Raj Bawa,0,1,0,0,0.00,Punjab Kings,2022-03-27
Shahrukh Khan,24,20,1,2,120.00,Punjab Kings,2022-03-27
Odean Smith,25,8,1,3,312.50,Punjab Kings,2022-03-27
Rahul (c),0,1,0,0,0.00,Lucknow Super Giants,2022-03-28
de Kock (wk),7,9,1,0,77.78,Lucknow Super Giants,2022-03-28
Lewis,10,9,2,0,111.11,Lucknow Super Giants,2022-03-28
Manish Pandey,6,5,1,0,120.00,Lucknow Super Giants,2022-03-28
Deepak Hooda,55,41,6,2,134.15,Lucknow Super Giants,2022-03-28
Ayush Badoni,54,41,4,3,131.71,Lucknow Super Giants,2022-03-28
Krunal Pandya,21,13,3,0,161.54,Lucknow Super Giants,2022-03-28
Chameera,1,1,0,0,100.00,Lucknow Super Giants,2022-03-28
Shubman Gill,0,3,0,0,0.00,Gujarat Titans,2022-03-28
Matthew Wade (wk),30,29,4,0,103.45,Gujarat Titans,2022-03-28
Vijay Shankar,4,6,0,0,66.67,Gujarat Titans,2022-03-28
Hardik Pandya (c),33,28,5,1,117.86,Gujarat Titans,2022-03-28
David Miller,30,21,1,2,142.86,Gujarat Titans,2022-03-28
Rahul Tewatia,40,24,5,2,166.67,Gujarat Titans,2022-03-28
Abhinav Manohar,15,7,3,0,214.29,Gujarat Titans,2022-03-28
Jos Buttler,35,28,3,3,125.00,Rajasthan Royals,2022-03-29
Jaiswal,20,16,2,1,125.00,Rajasthan Royals,2022-03-29
Samson (c & wk),55,27,3,5,203.70,Rajasthan Royals,2022-03-29
Padikkal,41,29,4,2,141.38,Rajasthan Royals,2022-03-29
Hetmyer,32,13,2,3,246.15,Rajasthan Royals,2022-03-29
Riyan Parag,12,9,2,0,133.33,Rajasthan Royals,2022-03-29
Coulter-Nile,1,2,0,0,50.00,Rajasthan Royals,2022-03-29
Kane Williamson (c),2,7,0,0,28.57,Sunrisers Hyderabad,2022-03-29
Abhishek Sharma,9,19,1,0,47.37,Sunrisers Hyderabad,2022-03-29
Rahul Tripathi,0,3,0,0,0.00,Sunrisers Hyderabad,2022-03-29
Nicholas Pooran (wk),0,9,0,0,0.00,Sunrisers Hyderabad,2022-03-29
Aiden Markram,57,41,5,2,139.02,Sunrisers Hyderabad,2022-03-29
Abdul Samad,4,6,0,0,66.67,Sunrisers Hyderabad,2022-03-29
Romario Shepherd,24,18,0,2,133.33,Sunrisers Hyderabad,2022-03-29
Washington Sundar,40,14,5,2,285.71,Sunrisers Hyderabad,2022-03-29
Bhuvneshwar Kumar,3,4,0,0,75.00,Sunrisers Hyderabad,2022-03-29
Rahane,9,10,1,0,90.00,Kolkata Knight Riders,2022-03-30
Venkatesh Iyer,10,14,1,0,71.43,Kolkata Knight Riders,2022-03-30
Shreyas Iyer (c),13,10,2,0,130.00,Kolkata Knight Riders,2022-03-30
Nitish Rana,10,5,1,1,200.00,Kolkata Knight Riders,2022-03-30
Narine,12,8,1,1,150.00,Kolkata Knight Riders,2022-03-30
Billings,14,15,0,1,93.33,Kolkata Knight Riders,2022-03-30
Jackson (wk),0,1,0,0,0.00,Kolkata Knight Riders,2022-03-30
Russell,25,18,1,3,138.89,Kolkata Knight Riders,2022-03-30
Southee,1,5,0,0,20.00,Kolkata Knight Riders,2022-03-30
Umesh,18,12,2,1,150.00,Kolkata Knight Riders,2022-03-30
Faf du Plessis (c),5,4,1,0,125.00,Royal Challengers Bangalore,2022-03-30
Anuj Rawat,0,2,0,0,0.00,Royal Challengers Bangalore,2022-03-30
Virat Kohli,12,7,2,0,171.43,Royal Challengers Bangalore,2022-03-30
David Willey,18,28,3,0,64.29,Royal Challengers Bangalore,2022-03-30
Sherfane Rutherford,28,40,1,1,70.00,Royal Challengers Bangalore,2022-03-30
Shahbaz Ahmed,27,20,0,3,135.00,Royal Challengers Bangalore,2022-03-30
Dinesh Karthik (wk),14,7,1,1,200.00,Royal Challengers Bangalore,2022-03-30
Wanindu Hasaranga,4,3,1,0,133.33,Royal Challengers Bangalore,2022-03-30
Harshal Patel,10,6,2,0,166.67,Royal Challengers Bangalore,2022-03-30
Uthappa,50,27,8,1,185.19,Chennai Super Kings,2022-03-31
Ruturaj Gaikwad,1,4,0,0,25.00,Chennai Super Kings,2022-03-31
Moeen,35,22,4,2,159.09,Chennai Super Kings,2022-03-31
Shivam Dube,49,30,5,2,163.33,Chennai Super Kings,2022-03-31
Rayudu,27,20,2,2,135.00,Chennai Super Kings,2022-03-31
Ravindra Jadeja (c),17,9,3,0,188.89,Chennai Super Kings,2022-03-31
Dhoni (wk),16,6,2,1,266.67,Chennai Super Kings,2022-03-31
Pretorius,0,1,0,0,0.00,Chennai Super Kings,2022-03-31
DJ Bravo,1,1,0,0,100.00,Chennai Super Kings,2022-03-31
KL Rahul (c),40,26,2,3,153.85,Lucknow Super Giants,2022-03-31
