Match Date,Name,Runs,Balls,Fours,Sixes,Strike Rate,Country,Born,Team,Venue,Season
2008-04-18,Sourav Ganguly,10,12,2,0,83.33,India,1972-07-08,KKR,Bengaluru,2008
2008-04-18,Brendon McCullum,158,73,10,13,216.44,New Zealand,1981-09-27,KKR,Bengaluru,2008
2008-04-18,Ricky Ponting,20,20,1,1,100.0,Australia,1974-12-19,KKR,Bengaluru,2008
2008-04-18,David Hussey,12,12,1,0,100.0,Australia,1977-07-15,KKR,Bengaluru,2008
2008-04-18,Mohammad Hafeez,5,3,1,0,166.67,Pakistan,1980-10-17,KKR,Bengaluru,2008
2008-04-18,Rahul Dravid,2,3,0,0,66.67,India,1973-01-11,RCB,Bengaluru,2008
2008-04-18,Wasim Jaffer,6,16,0,0,37.5,India,1978-02-16,RCB,Bengaluru,2008
2008-04-18,Virat Kohli,1,5,0,0,20.0,India,1988-11-05,RCB,Bengaluru,2008
2008-04-18,Jacques Kallis,8,7,0,1,114.29,South Africa,1975-10-16,RCB,Bengaluru,2008
2008-04-18,Cameron White,6,10,0,0,60.0,Australia,1983-08-18,RCB,Bengaluru,2008
2008-04-18,Mark Boucher,7,9,1,0,77.78,South Africa,1976-12-03,RCB,Bengaluru,2008
2008-04-18,Balachandra Akhil,0,2,0,0,0.0,India,1977-10-07,RCB,Bengaluru,2008
2008-04-18,Ashley Noffke,9,10,1,0,90.0,Australia,1977-04-30,RCB,Bengaluru,2008
2008-04-18,Praveen Kumar,18,15,1,2,120.0,India,1986-10-02,RCB,Bengaluru,2008
2008-04-18,Zaheer Khan,3,8,0,0,37.5,India,1978-10-07,RCB,Bengaluru,2008
2008-04-19,S Badrinath,31,14,3,2,221.43,India,1980-08-30,CSK,Mohali,2008
2008-04-19,Jacob Oram,13,10,0,1,130.0,New Zealand,1978-07-28,CSK,Mohali,2008
2008-04-19,Suresh Raina,32,13,2,3,246.15,India,1986-11-27,CSK,Mohali,2008
2008-04-19,Michael Hussey,116,54,8,9,214.81,Australia,1975-05-27,CSK,Mohali,2008
2008-04-19,MS Dhoni,2,3,0,0,66.67,India,1981-07-07,CSK,Mohali,2008
2008-04-19,Parthiv Patel,15,10,3,0,150.0,India,1985-03-09,CSK,Mohali,2008
2008-04-19,Irfan Pathan,3,5,0,0,60.0,India,1984-10-27,KXP,Mohali,2008
2008-04-19,Karan Goel,24,19,2,1,126.32,India,1986-12-24,KXP,Mohali,2008
2008-04-19,Simon Katich,21,17,0,1,123.53,Australia,1975-08-21,KXP,Mohali,2008
2008-04-19,Yuvraj Singh,23,13,1,2,176.92,India,1981-12-12,KXP,Mohali,2008
2008-04-19,Kumar Sangakkara,54,33,5,2,163.64,Sri Lanka,1977-10-27,KXP,Mohali,2008
2008-04-19,Ravindra Jadeja,29,23,2,2,126.09,India,1988-12-06,RR,Delhi,2008
2008-04-19,Darren Lehmann,1,2,0,0,50.0,Australia,1970-02-05,RR,Delhi,2008
2008-04-19,Shane Watson,21,15,4,0,140.0,Australia,1981-06-17,RR,Delhi,2008
2008-04-19,Mohammad Kaif,9,19,0,0,47.37,India,1980-12-01,RR,Delhi,2008
2008-04-19,Yusuf Pathan,10,5,2,0,200.0,India,1982-11-17,RR,Delhi,2008
2008-04-19,Taruwar Kohli,7,12,0,1,58.33,India,1988-12-17,RR,Delhi,2008
2008-04-19,Siddharth Trivedi,3,7,0,0,42.86,India,1982-09-04,RR,Delhi,2008
2008-04-19,Shane Warne,14,13,2,0,107.69,Australia,1969-09-13,RR,Delhi,2008
2008-04-19,Dinesh Salunkhe,26,20,4,0,130.0,India,1982-11-12,RR,Delhi,2008
2008-04-19,Gautam Gambhir,58,46,7,1,126.09,India,1981-10-14,DD,Delhi,2008
2008-04-19,Shikhar Dhawan,52,41,8,0,126.83,India,1985-12-05,DD,Delhi,2008
2008-04-20,Pragyan Ojha,0,0,0,0,0.0,India,1986-09-05,DC,Kolkata,2008
2008-04-20,RP Singh,1,2,0,0,50.0,India,1985-12-06,DC,Kolkata,2008
2008-04-20,Chaminda Vaas,0,1,0,0,0.0,Sri Lanka,1974-01-27,DC,Kolkata,2008
2008-04-20,Arjun Yadav,10,10,0,1,100.0,India,1981-12-23,DC,Kolkata,2008
2008-04-20,Sanjay Bangar,14,10,1,1,140.0,India,1972-10-11,DC,Kolkata,2008
2008-04-20,Scott Styris,6,7,1,0,85.71,New Zealand,1975-07-10,DC,Kolkata,2008
2008-04-20,Rohit Sharma,0,3,0,0,0.0,India,1987-04-30,DC,Kolkata,2008
2008-04-20,Andrew Symonds,32,39,2,2,82.05,Australia,1975-06-09,DC,Kolkata,2008
2008-04-20,VVS Laxman,0,6,0,0,0.0,India,1974-11-01,DC,Kolkata,2008
2008-04-20,Adam Gilchrist,23,22,1,2,104.55,Australia,1971-11-14,DC,Kolkata,2008
2008-04-20,Laxmi Shukla,4,6,0,0,66.67,India,1981-05-06,KKR,Kolkata,2008
2008-04-20,Wriddhiman Saha,10,17,1,0,58.82,India,1984-10-24,KKR,Kolkata,2008
2008-04-20,Mohammad Hafeez,13,13,1,1,100.0,Pakistan,1980-10-17,KKR,Kolkata,2008
2008-04-20,David Hussey,38,43,1,3,88.37,Australia,1977-07-15,KKR,Kolkata,2008
2008-04-20,Sourav Ganguly,14,30,1,0,46.67,India,1972-07-08,KKR,Kolkata,2008
2008-04-20,Ricky Ponting,0,1,0,0,0.0,Australia,1974-12-19,KKR,Kolkata,2008
2008-04-20,Harbhajan Singh,2,2,0,0,100.0,India,1980-07-03,MI,Mumbai,2008
2008-04-20,Abhishek Nayar,20,14,1,1,142.86,India,1983-10-08,MI,Mumbai,2008
2008-04-20,Shaun Pollock,28,12,3,2,233.33,South Africa,1973-07-16,MI,Mumbai,2008
2008-04-20,Pinal Shah,19,23,2,0,82.61,India,1987-11-03,MI,Mumbai,2008
2008-04-20,Robin Uthappa,48,38,5,1,126.32,India,1985-11-11,MI,Mumbai,2008
2008-04-20,Sanath Jayasuriya,29,16,5,1,181.25,Sri Lanka,1969-06-30,MI,Mumbai,2008
2008-04-20,Dominic Thornely,0,5,0,0,0.0,Australia,1978-10-01,MI,Mumbai,2008
2008-04-20,Balachandra Akhil,3,5,0,0,60.0,India,1977-10-07,RCB,Mumbai,2008
2008-04-20,Mark Boucher,39,19,4,2,205.26,South Africa,1976-12-03,RCB,Mumbai,2008
2008-04-20,Shivnarine Chanderpaul,16,11,3,0,145.45,West Indies,1974-08-16,RCB,Mumbai,2008
2008-04-20,Virat Kohli,23,14,3,1,164.29,India,1988-11-05,RCB,Mumbai,2008
2008-04-20,Jacques Kallis,25,24,0,1,104.17,South Africa,1975-10-16,RCB,Mumbai,2008
2008-04-20,Ross Taylor,23,12,1,2,191.67,New Zealand,1984-03-08,RCB,Mumbai,2008
2008-04-21,Wilkin Mota,1,1,0,0,100.0,India,1981-09-20,KXP,Jaipur,2008
2008-04-21,Piyush Chawla,24,11,4,0,218.18,India,1988-12-24,KXP,Jaipur,2008
2008-04-21,Sunny Sohal,4,4,0,0,100.0,India,1987-11-10,KXP,Jaipur,2008
2008-04-21,Yuvraj Singh,57,34,6,3,167.65,India,1981-12-12,KXP,Jaipur,2008
2008-04-21,Irfan Pathan,12,19,0,1,63.16,India,1984-10-27,KXP,Jaipur,2008
2008-04-21,Mahela Jayawardene,2,4,0,0,50.0,Sri Lanka,1977-05-27,KXP,Jaipur,2008
2008-04-21,Kumar Sangakkara,20,8,3,1,250.0,Sri Lanka,1977-10-27,KXP,Jaipur,2008
2008-04-21,James Hopes,16,16,2,0,100.0,Australia,1978-10-24,KXP,Jaipur,2008
2008-04-21,Karan Goel,26,21,3,2,123.81,India,1986-12-24,KXP,Jaipur,2008
2008-04-21,Ravindra Jadeja,36,25,5,1,144.0,India,1988-12-06,RR,Jaipur,2008
2008-04-21,Mohammad Kaif,5,8,1,0,62.5,India,1980-12-01,RR,Jaipur,2008
2008-04-21,Darren Lehmann,17,16,3,0,106.25,Australia,1970-02-05,RR,Jaipur,2008
2008-04-21,Kamran Akmal,15,10,2,1,150.0,Pakistan,1982-01-13,RR,Jaipur,2008
2008-04-21,Shane Watson,76,49,5,5,155.1,Australia,1981-06-17,RR,Jaipur,2008
2008-04-22,RP Singh,1,1,0,0,100.0,India,1985-12-06,DC,Hyderabad,2008
2008-04-22,Arjun Yadav,12,7,2,0,171.43,India,1981-12-23,DC,Hyderabad,2008
2008-04-22,Sanjay Bangar,8,14,0,0,57.14,India,1972-10-11,DC,Hyderabad,2008
2008-04-22,Shahid Afridi,2,7,0,0,28.57,Pakistan,1980-03-01,DC,Hyderabad,2008
2008-04-22,Rohit Sharma,66,36,6,4,183.33,India,1987-04-30,DC,Hyderabad,2008
2008-04-22,Andrew Symonds,12,13,2,0,92.31,Australia,1975-06-09,DC,Hyderabad,2008
2008-04-22,VVS Laxman,2,6,0,0,33.33,India,1974-11-01,DC,Hyderabad,2008
2008-04-22,Adam Gilchrist,8,9,0,1,88.89,Australia,1971-11-14,DC,Hyderabad,2008
2008-04-22,Venugopal Rao,14,22,2,0,63.64,India,1982-02-26,DC,Hyderabad,2008
2008-04-22,Gautam Gambhir,12,9,2,0,133.33,India,1981-10-14,DD,Hyderabad,2008
2008-04-22,Shikhar Dhawan,25,28,3,0,89.29,India,1985-12-05,DD,Hyderabad,2008
2008-04-23,S Badrinath,2,1,0,0,200.0,India,1980-08-30,CSK,Chennai,2008
2008-04-23,Jacob Oram,5,2,1,0,250.0,New Zealand,1978-07-28,CSK,Chennai,2008
2008-04-23,MS Dhoni,30,16,4,1,187.5,India,1981-07-07,CSK,Chennai,2008
2008-04-23,Suresh Raina,53,37,3,3,143.24,India,1986-11-27,CSK,Chennai,2008
2008-04-23,Michael Hussey,5,9,1,0,55.56,Australia,1975-05-27,CSK,Chennai,2008
2008-04-23,Parthiv Patel,14,11,3,0,127.27,India,1985-03-09,CSK,Chennai,2008
2008-04-23,Matthew Hayden,81,46,12,2,176.09,Australia,1971-10-29,CSK,Chennai,2008
2008-04-23,Ashish Nehra,1,2,0,0,50.0,India,1979-04-29,MI,Chennai,2008
2008-04-23,Musavir Khote,9,5,0,1,180.0,India,1980-04-22,MI,Chennai,2008
2008-04-23,Harbhajan Singh,28,14,1,3,200.0,India,1980-07-03,MI,Chennai,2008
2008-04-23,Abhishek Nayar,45,20,6,1,225.0,India,1983-10-08,MI,Chennai,2008
2008-04-23,Luke Ronchi,2,3,0,0,66.67,New Zealand,1981-04-23,MI,Chennai,2008
2008-04-23,Dwayne Bravo,24,16,2,1,150.0,West Indies,1983-10-07,MI,Chennai,2008
2008-04-23,Shaun Pollock,17,15,0,1,113.33,South Africa,1973-07-16,MI,Chennai,2008
2008-04-23,Robin Uthappa,43,36,6,1,119.44,India,1985-11-11,MI,Chennai,2008
2008-04-24,Rohit Sharma,36,30,3,1,120.0,India,1987-04-30,DC,Hyderabad,2008
2008-04-24,Arjun Yadav,16,9,3,0,177.78,India,1981-12-23,DC,Hyderabad,2008
2008-04-24,Andrew Symonds,117,53,11,7,220.75,Australia,1975-06-09,DC,Hyderabad,2008
2008-04-24,Shahid Afridi,10,4,1,1,250.0,Pakistan,1980-03-01,DC,Hyderabad,2008
2008-04-24,Adam Gilchrist,13,9,3,0,144.44,Australia,1971-11-14,DC,Hyderabad,2008
2008-04-24,Dinesh Salunkhe,1,1,0,0,100.0,India,1982-11-12,RR,Hyderabad,2008
2008-04-24,Pankaj Singh,4,3,0,0,133.33,India,1985-05-06,RR,Hyderabad,2008
2008-04-24,Shane Warne,22,9,2,2,244.44,Australia,1969-09-13,RR,Hyderabad,2008
2008-04-24,Ravindra Jadeja,1,3,0,0,33.33,India,1988-12-06,RR,Hyderabad,2008
2008-04-24,Shane Watson,4,6,0,0,66.67,Australia,1981-06-17,RR,Hyderabad,2008
2008-04-24,Mohammad Kaif,34,16,2,3,212.5,India,1980-12-01,RR,Hyderabad,2008
2008-04-24,Graeme Smith,71,45,9,2,157.78,South Africa,1981-02-01,RR,Hyderabad,2008
2008-04-24,Yusuf Pathan,61,28,4,6,217.86,India,1982-11-17,RR,Hyderabad,2008
2008-04-25,Vikram Singh,4,2,1,0,200.0,India,1984-09-17,KXP,Mohali,2008
2008-04-25,S Sreesanth,0,1,0,0,0.0,India,1983-02-06,KXP,Mohali,2008
2008-04-25,Piyush Chawla,0,1,0,0,0.0,India,1988-12-24,KXP,Mohali,2008
