Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2008-04-18,Praveen Kumar,4.0,0,38,0,0,1,9.5,India,1986-10-02,RCB,Bengaluru,2008
2008-04-18,Zaheer Khan,4.0,0,38,1,0,0,9.5,India,1978-10-07,RCB,Bengaluru,2008
2008-04-18,Ashley Noffke,4.0,0,40,1,0,1,10.0,Australia,1977-04-30,RCB,Bengaluru,2008
2008-04-18,Jacques Kallis,4.0,0,48,1,0,1,12.0,South Africa,1975-10-16,RCB,Bengaluru,2008
2008-04-18,Sunil Joshi,3.0,0,26,0,0,0,8.67,India,1970-06-06,RCB,Bengaluru,2008
2008-04-18,Cameron White,1.0,0,24,0,0,1,24.0,Australia,1983-08-18,RCB,Bengaluru,2008
2008-04-18,Ashok Dinda,3.0,0,9,2,0,2,3.0,India,1984-03-25,KKR,Bengaluru,2008
2008-04-18,Ishant Sharma,3.0,0,7,1,0,1,2.33,India,1988-09-02,KKR,Bengaluru,2008
2008-04-18,Ajit Agarkar,4.0,0,25,3,0,4,6.25,India,1977-12-04,KKR,Bengaluru,2008
2008-04-18,Sourav Ganguly,4.0,0,21,2,0,1,5.25,India,1972-07-08,KKR,Bengaluru,2008
2008-04-18,Laxmi Shukla,1.1,0,12,1,0,2,10.91,India,1981-05-06,KKR,Bengaluru,2008
2008-04-19,Wilkin Mota,2.0,0,24,1,0,2,12.0,India,1981-09-20,KXP,Mohali,2008
2008-04-19,Piyush Chawla,1.0,0,19,0,0,0,19.0,India,1988-12-24,KXP,Mohali,2008
2008-04-19,Karan Goel,2.0,0,25,0,0,0,12.5,India,1986-12-24,KXP,Mohali,2008
2008-04-19,Irfan Pathan,4.0,0,47,2,0,0,11.75,India,1984-10-27,KXP,Mohali,2008
2008-04-19,James Hopes,4.0,0,53,1,0,0,13.25,Australia,1978-10-24,KXP,Mohali,2008
2008-04-19,S Sreesanth,3.0,0,35,0,0,1,11.67,India,1983-02-06,KXP,Mohali,2008
2008-04-19,Brett Lee,4.0,0,35,1,1,0,8.75,Australia,1976-11-08,KXP,Mohali,2008
2008-04-19,Palani Amarnath,4.0,0,42,1,0,0,10.5,India,1982-06-01,CSK,Mohali,2008
2008-04-19,Joginder Sharma,4.0,0,47,1,0,1,11.75,India,1983-10-23,CSK,Mohali,2008
2008-04-19,Muttiah Muralitharan,4.0,0,33,1,0,1,8.25,Sri Lanka,1972-04-17,CSK,Mohali,2008
2008-04-19,Manpreet Gony,4.0,0,42,1,0,2,10.5,India,1984-01-04,CSK,Mohali,2008
2008-04-19,Jacob Oram,4.0,0,37,0,0,0,9.25,New Zealand,1978-07-28,CSK,Mohali,2008
2008-04-19,Daniel Vettori,4.0,0,35,1,0,0,8.75,New Zealand,1979-01-27,DD,Delhi,2008
2008-04-19,Rajat Bhatia,4.0,0,17,2,0,1,4.25,India,1979-10-22,DD,Delhi,2008
2008-04-19,Farveez Maharoof,4.0,0,11,2,0,0,2.75,Sri Lanka,1984-09-07,DD,Delhi,2008
2008-04-19,Brett Geeves,4.0,0,41,0,0,0,10.25,Australia,1982-06-13,DD,Delhi,2008
2008-04-19,Glenn McGrath,4.0,1,21,1,0,1,5.25,Australia,1970-02-09,DD,Delhi,2008
2008-04-19,Dinesh Salunkhe,1.0,0,11,0,0,1,11.0,India,1982-11-12,RR,Delhi,2008
2008-04-19,Yusuf Pathan,2.1,0,17,0,0,1,8.1,India,1982-11-17,RR,Delhi,2008
2008-04-19,Shane Warne,2.0,0,16,0,0,0,8.0,Australia,1969-09-13,RR,Delhi,2008
2008-04-19,Siddharth Trivedi,3.0,0,32,0,0,3,10.67,India,1982-09-04,RR,Delhi,2008
2008-04-19,Shane Watson,4.0,0,31,1,0,1,7.75,Australia,1981-06-17,RR,Delhi,2008
2008-04-19,Munaf Patel,3.0,0,25,0,0,0,8.33,India,1983-07-12,RR,Delhi,2008
2008-04-20,Mohammad Hafeez,4.0,0,8,1,1,0,2.0,Pakistan,1980-10-17,KKR,Kolkata,2008
2008-04-20,Murali Kartik,3.4,0,17,3,0,0,5.0,India,1976-09-11,KKR,Kolkata,2008
2008-04-20,Ashok Dinda,3.0,0,18,1,1,0,6.0,India,1984-03-25,KKR,Kolkata,2008
2008-04-20,David Hussey,3.0,0,35,1,0,1,11.67,Australia,1977-07-15,KKR,Kolkata,2008
2008-04-20,Ajit Agarkar,2.0,0,19,2,0,0,9.5,India,1977-12-04,KKR,Kolkata,2008
2008-04-20,Ishant Sharma,3.0,1,9,1,0,3,3.0,India,1988-09-02,KKR,Kolkata,2008
2008-04-20,Andrew Symonds,2.0,0,20,0,1,2,10.0,Australia,1975-06-09,DC,Kolkata,2008
2008-04-20,Sanjay Bangar,3.0,0,19,0,0,2,6.33,India,1972-10-11,DC,Kolkata,2008
2008-04-20,Scott Styris,4.0,0,19,0,0,1,4.75,New Zealand,1975-07-10,DC,Kolkata,2008
2008-04-20,RP Singh,3.0,0,15,1,0,0,5.0,India,1985-12-06,DC,Kolkata,2008
2008-04-20,Pragyan Ojha,4.0,0,18,2,0,2,4.5,India,1986-09-05,DC,Kolkata,2008
2008-04-20,Chaminda Vaas,3.0,0,9,2,0,0,3.0,Sri Lanka,1974-01-27,DC,Kolkata,2008
2008-04-20,Sunil Joshi,2.0,0,10,0,0,0,5.0,India,1970-06-06,RCB,Mumbai,2008
2008-04-20,Balachandra Akhil,3.0,0,17,2,0,0,5.67,India,1977-10-07,RCB,Mumbai,2008
2008-04-20,Vinay Kumar,4.0,0,41,0,0,0,10.25,India,1984-02-12,RCB,Mumbai,2008
2008-04-20,Jacques Kallis,3.0,0,43,0,0,2,14.33,South Africa,1975-10-16,RCB,Mumbai,2008
2008-04-20,Praveen Kumar,4.0,0,29,1,0,1,7.25,India,1986-10-02,RCB,Mumbai,2008
2008-04-20,Zaheer Khan,4.0,0,17,2,0,0,4.25,India,1978-10-07,RCB,Mumbai,2008
2008-04-20,Abhishek Nayar,1.0,0,10,0,0,0,10.0,India,1983-10-08,MI,Mumbai,2008
2008-04-20,Harbhajan Singh,4.0,0,36,2,0,1,9.0,India,1980-07-03,MI,Mumbai,2008
2008-04-20,Sanath Jayasuriya,4.0,0,39,1,0,0,9.75,Sri Lanka,1969-06-30,MI,Mumbai,2008
2008-04-20,Ashish Nehra,4.0,0,45,1,0,2,11.25,India,1979-04-29,MI,Mumbai,2008
2008-04-20,Dhawal Kulkarni,2.4,0,19,1,0,2,7.92,India,1988-12-10,MI,Mumbai,2008
2008-04-20,Shaun Pollock,4.0,0,17,0,0,0,4.25,South Africa,1973-07-16,MI,Mumbai,2008
2008-04-21,Yusuf Pathan,1.0,0,13,0,0,0,13.0,India,1982-11-17,RR,Jaipur,2008
2008-04-21,Pankaj Singh,1.0,0,12,0,0,0,12.0,India,1985-05-06,RR,Jaipur,2008
2008-04-21,Dinesh Salunkhe,2.0,0,21,1,0,2,10.5,India,1982-11-12,RR,Jaipur,2008
2008-04-21,Shane Warne,4.0,0,19,3,0,0,4.75,Australia,1969-09-13,RR,Jaipur,2008
2008-04-21,Shane Watson,4.0,0,39,0,1,0,9.75,Australia,1981-06-17,RR,Jaipur,2008
2008-04-21,Siddharth Trivedi,4.0,0,25,2,0,0,6.25,India,1982-09-04,RR,Jaipur,2008
2008-04-21,Munaf Patel,4.0,0,36,1,0,0,9.0,India,1983-07-12,RR,Jaipur,2008
2008-04-21,Wilkin Mota,1.0,0,12,0,0,0,12.0,India,1981-09-20,KXP,Jaipur,2008
2008-04-21,Piyush Chawla,2.0,0,27,0,0,0,13.5,India,1988-12-24,KXP,Jaipur,2008
2008-04-21,Irfan Pathan,4.0,0,21,1,0,2,5.25,India,1984-10-27,KXP,Jaipur,2008
2008-04-21,James Hopes,4.0,0,33,1,0,1,8.25,Australia,1978-10-24,KXP,Jaipur,2008
2008-04-21,S Sreesanth,3.1,0,38,1,2,3,12.26,India,1983-02-06,KXP,Jaipur,2008
2008-04-21,Brett Lee,4.0,0,35,1,2,0,8.75,Australia,1976-11-08,KXP,Jaipur,2008
2008-04-22,Farveez Maharoof,4.0,0,36,2,0,1,9.0,Sri Lanka,1984-09-07,DD,Hyderabad,2008
2008-04-22,Yo Mahesh,4.0,0,35,1,1,0,8.75,India,1987-12-21,DD,Hyderabad,2008
2008-04-22,Mohammad Asif,4.0,0,19,2,0,0,4.75,Pakistan,1982-12-20,DD,Hyderabad,2008
2008-04-22,Rajat Bhatia,4.0,0,27,2,0,0,6.75,India,1979-10-22,DD,Hyderabad,2008
2008-04-22,Glenn McGrath,4.0,1,22,0,0,0,5.5,Australia,1970-02-09,DD,Hyderabad,2008
2008-04-22,Andrew Symonds,2.0,0,35,0,0,0,17.5,Australia,1975-06-09,DC,Hyderabad,2008
2008-04-22,Pragyan Ojha,1.0,0,7,0,0,2,7.0,India,1986-09-05,DC,Hyderabad,2008
2008-04-22,Shahid Afridi,2.0,0,17,0,0,0,8.5,Pakistan,1980-03-01,DC,Hyderabad,2008
2008-04-22,Sanjay Bangar,2.0,0,30,0,0,1,15.0,India,1972-10-11,DC,Hyderabad,2008
2008-04-22,RP Singh,3.0,0,27,1,0,1,9.0,India,1985-12-06,DC,Hyderabad,2008
2008-04-22,Chaminda Vaas,3.0,0,22,0,0,1,7.33,Sri Lanka,1974-01-27,DC,Hyderabad,2008
2008-04-23,Abhishek Nayar,1.0,0,14,0,0,0,14.0,India,1983-10-08,MI,Chennai,2008
2008-04-23,Vikrant Yeligati,1.0,0,16,0,0,1,16.0,India,1985-04-23,MI,Chennai,2008
2008-04-23,Dwayne Bravo,3.0,0,36,0,0,1,12.0,West Indies,1983-10-07,MI,Chennai,2008
2008-04-23,Harbhajan Singh,2.0,0,14,0,0,0,7.0,India,1980-07-03,MI,Chennai,2008
2008-04-23,Dhawal Kulkarni,3.0,0,25,1,1,0,8.33,India,1988-12-10,MI,Chennai,2008
2008-04-23,Shaun Pollock,3.0,0,32,0,0,1,10.67,South Africa,1973-07-16,MI,Chennai,2008
