Link,Name,Country,Born
https://www.espncricinfo.com/cricketers/matthew-short-605575,Matthew Short,Australia,1995-11-08
https://www.espncricinfo.com/cricketers/travis-head-530011,Travis Head,Australia,1993-12-29
https://www.espncricinfo.com/cricketers/mitchell-marsh-272450,Mitchell Marsh,Australia,1991-10-20
https://www.espncricinfo.com/cricketers/josh-inglis-662235,Josh Inglis,Australia,1995-03-04
https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,Marcus Stoinis,Australia,1989-08-16
https://www.espncricinfo.com/cricketers/tim-david-892749,Tim David,Australia,1996-03-16
https://www.espncricinfo.com/cricketers/aaron-hardie-1124283,Aaron Hardie,Australia,1999-01-07
https://www.espncricinfo.com/cricketers/sean-abbott-398666,Sean Abbott,Australia,1992-02-29
https://www.espncricinfo.com/cricketers/reeza-hendricks-269280,Reeza Hendricks,South Africa,1989-08-14
https://www.espncricinfo.com/cricketers/temba-bavuma-372116,Temba Bavuma,South Africa,1990-05-17
https://www.espncricinfo.com/cricketers/rassie-van-der-dussen-337790,Rassie van der Dussen,South Africa,1989-02-07
https://www.espncricinfo.com/cricketers/aiden-markram-600498,Aiden Markram,South Africa,1994-10-04
https://www.espncricinfo.com/cricketers/dewald-brevis-1070665,Dewald Brevis,South Africa,2003-04-29
https://www.espncricinfo.com/cricketers/tristan-stubbs-595978,Tristan Stubbs,South Africa,2000-08-14
https://www.espncricinfo.com/cricketers/marco-jansen-696401,Marco Jansen,South Africa,2000-05-01
https://www.espncricinfo.com/cricketers/gerald-coetzee-596010,Gerald Coetzee,South Africa,2000-10-02
https://www.espncricinfo.com/cricketers/lizaad-williams-379887,Lizaad Williams,South Africa,1993-10-01
https://www.espncricinfo.com/cricketers/lungi-ngidi-542023,Lungi Ngidi,South Africa,1996-03-29
https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,Tabraiz Shamsi,South Africa,1990-02-18
https://www.espncricinfo.com/cricketers/bjorn-fortuin-553249,Bjorn Fortuin,South Africa,1994-10-21
https://www.espncricinfo.com/cricketers/matthew-breetzke-595267,Matthew Breetzke,South Africa,1998-11-03
https://www.espncricinfo.com/cricketers/donovan-ferreira-698315,Donovan Ferreira,South Africa,1998-07-21
https://www.espncricinfo.com/cricketers/keshav-maharaj-267724,Keshav Maharaj,South Africa,1990-02-07
https://www.espncricinfo.com/cricketers/ashton-turner-500268,Ashton Turner,Australia,1993-01-25
https://www.espncricinfo.com/cricketers/nick-welch-696145,Nick Welch,Zimbabwe,1998-02-05
https://www.espncricinfo.com/cricketers/craig-ervine-55412,Craig Ervine,Zimbabwe,1985-08-19
https://www.espncricinfo.com/cricketers/innocent-kaia-465327,Innocent Kaia,Zimbabwe,1992-08-10
https://www.espncricinfo.com/cricketers/ryan-burl-495964,Ryan Burl,Zimbabwe,1994-04-15
https://www.espncricinfo.com/cricketers/sikandar-raza-299572,Sikandar Raza,Zimbabwe,1986-04-24
https://www.espncricinfo.com/cricketers/wessly-madhevere-938959,Wessly Madhevere,Zimbabwe,2000-09-04
https://www.espncricinfo.com/cricketers/clive-madande-1045883,Clive Madande,Zimbabwe,2000-04-12
https://www.espncricinfo.com/cricketers/faraz-akram-1122851,Faraz Akram,Zimbabwe,1993-10-03
https://www.espncricinfo.com/cricketers/luke-jongwe-541224,Luke Jongwe,Zimbabwe,1995-02-06
https://www.espncricinfo.com/cricketers/richard-ngarava-806241,Richard Ngarava,Zimbabwe,1997-12-29
https://www.espncricinfo.com/cricketers/tendai-chatara-425639,Tendai Chatara,Zimbabwe,1991-02-28
https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,Michael van Lingen,Namibia,1997-10-24
https://www.espncricinfo.com/cricketers/nikolaas-davin-595790,Nikolaas Davin,Namibia,1997-12-19
https://www.espncricinfo.com/cricketers/gerhard-erasmus-519070,Gerhard Erasmus,Namibia,1995-04-11
https://www.espncricinfo.com/cricketers/jan-frylinck-482478,Jan Frylinck,Namibia,1994-04-06
https://www.espncricinfo.com/cricketers/jp-kotze-541991,JP Kotze,Namibia,1994-04-23
https://www.espncricinfo.com/cricketers/jj-smit-553821,JJ Smit,Namibia,1995-11-10
https://www.espncricinfo.com/cricketers/zane-green-596664,Zane Green,Namibia,1996-10-11
https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,Bernard Scholtz,Namibia,1990-10-03
https://www.espncricinfo.com/cricketers/tinashe-kamunhukamwe-713811,Tinashe Kamunhukamwe,Zimbabwe,1995-07-10
https://www.espncricinfo.com/cricketers/carl-mumba-672775,Carl Mumba,Zimbabwe,1995-05-06
https://www.espncricinfo.com/cricketers/jan-nicol-loftie-eaton-1071473,Jan Nicol Loftie-Eaton,Namibia,2001-03-15
https://www.espncricinfo.com/cricketers/handre-klazinge-698277,Handre Klazinge,Namibia,1999-07-30
https://www.espncricinfo.com/cricketers/tangeni-lungameni-524075,Tangeni Lungameni,Namibia,1992-04-17
https://www.espncricinfo.com/cricketers/ainsley-ndlovu-596456,Ainsley Ndlovu,Zimbabwe,1996-01-26
https://www.espncricinfo.com/cricketers/steven-smith-267192,Steven Smith,Australia,1989-06-02
https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278,Yashasvi Jaiswal,India,2001-12-28
https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380,Ruturaj Gaikwad,India,1997-01-31
https://www.espncricinfo.com/cricketers/ishan-kishan-720471,Ishan Kishan,India,1998-07-18
https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507,Suryakumar Yadav,India,1990-09-14
https://www.espncricinfo.com/cricketers/tilak-varma-1170265,Tilak Varma,India,2002-11-08
https://www.espncricinfo.com/cricketers/rinku-singh-723105,Rinku Singh,India,1997-10-12
https://www.espncricinfo.com/cricketers/axar-patel-554691,Axar Patel,India,1994-01-20
https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,Ravi Bishnoi,India,2000-09-05
https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,Arshdeep Singh,India,1999-02-05
https://www.espncricinfo.com/cricketers/mukesh-kumar-926851,Mukesh Kumar,India,1993-10-12
https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,Glenn Maxwell,Australia,1988-10-14
https://www.espncricinfo.com/cricketers/matthew-wade-230193,Matthew Wade,Australia,1987-12-26
https://www.espncricinfo.com/cricketers/nathan-ellis-826915,Nathan Ellis,Australia,1994-09-22
https://www.espncricinfo.com/cricketers/adam-zampa-379504,Adam Zampa,Australia,1992-03-31
https://www.espncricinfo.com/cricketers/tanveer-sangha-1170471,Tanveer Sangha,Australia,2001-11-26
https://www.espncricinfo.com/cricketers/shreyas-iyer-642519,Shreyas Iyer,India,1994-12-06
https://www.espncricinfo.com/cricketers/jitesh-sharma-721867,Jitesh Sharma,India,1993-10-22
https://www.espncricinfo.com/cricketers/deepak-chahar-447261,Deepak Chahar,India,1992-08-07
https://www.espncricinfo.com/cricketers/avesh-khan-694211,Avesh Khan,India,1996-12-13
https://www.espncricinfo.com/cricketers/josh-philippe-1124282,Josh Philippe,Australia,1997-06-01
https://www.espncricinfo.com/cricketers/ben-mcdermott-603410,Ben McDermott,Australia,1994-12-12
https://www.espncricinfo.com/cricketers/ben-dwarshuis-679567,Ben Dwarshuis,Australia,1994-06-23
https://www.espncricinfo.com/cricketers/chris-green-787073,Chris Green,Australia,1993-10-01
https://www.espncricinfo.com/cricketers/jason-behrendorff-272477,Jason Behrendorff,Australia,1990-04-20
